Num,Movements,Exercise Type,Target Muscle,Movement Pattern,Equipment,Skills Level,Desc
0,Partner Plank Band Row,Strength,Abs,Push,Bands,Intermediate,Partner Plank Band Row is a fitness movement that combines two exercises - planks and band rows It utilizes resistance bands to allow the partner to provide more resistance and help develop strength and stability in the core and upper body It is designed to provide a full-body workout that is effective at building strength and endurance
1,Banded Crunch Isometric Hold,Strength,Abs,Twist,Bands,Intermediate,The Banded Crunch Isometric Hold is a fitness movement that targets the core muscles by applying resistance with a band and an isometric hold to increase strength in the abdomen and obliques This exercise helps to increase core stability and develops chest and back muscles through controlled movements and an increased range of motion
2,Fyr Banded Plank Jack,Strength,Abs,Push,Bands,Intermediate,"Fyr Banded Plank Jack is an energized full-body exercise which combines the traditional Plank exercise with dynamic jumping jacks This fitness movement will work both your core and stabilizing muscles, with the addition of the resistance band to further increase the effectiveness of the exercise The combination of these two movements will help increase your heart rate, burn calories and tone your body"
3,Banded Crunch,Strength,Abs,Rotation,Bands,Intermediate,Banded Crunch is a popular fitness movement that focuses on the abdominal region It involves securing a resistance band around your legs and then performing a crunch with the band providing tension This exercise helps to increase stability and muscle activation throughout your core which can lead to improved abdominal strength and sculpted abs
4,Crunch,Strength,Abs,Twist,Bands,Intermediate,"Crunch is a global fitness movement that focuses on making fitness fun and more accessible to everyone It is based on the idea of 'No Judgments', where members of all walks of life, shapes, sizes, and ages are welcome and celebrated to move and groove together With a variety of classes available for all skill levels, Crunch offers something for everyone and encourages members to move beyond their comfort zone in a judgement-free atmosphere"
5,Decline Band Press Sit-Up,Strength,Abs,Hinge,Bands,Intermediate,"The Decline Band Press Sit-Up is a challenging full-body exercise that works the core, arms, and chest It starts by lying facedown on a decline bench with one end of the band in each hand After pulling them up towards your chest, crunch up into a sit-up position and then slowly release back down This movement uses resistance from the band to help tone and strengthen the abdominals and other core muscles"
6,Fyr2 Banded Frog Pump,Strength,Abs,Squat,Bands,Intermediate,"The Fyr2 Banded Frog Pump is a dynamic full-body exercise that focuses on the hip, core, and upper body muscles It is a functional movement that is designed to build strength, improve coordination, and increase range of motion This movement works to test and challenge your fitness level while also helping to develop overall athleticism"
7,Band Low-To-High Twist,Strength,Abs,Twist,Bands,Intermediate,"Band Low-To-High Twist is an effective dynamic exercise that works the oblique, shoulders, and core muscles It consists of grasping a band with both hands and twisting it low to the ground then up as high as possible It helps to improve mobility, stability, and balance while enhancing core strength and stability"
8,Barbell Roll-Out,Strength,Abs,Rotation,Barbell,Intermediate,The Barbell Roll-Out is a dynamic exercise that reinforces core strength and stability It is performed by straddling the barbell and using your arms and back to roll it out in front of you and back again It engages your abdominals and strengthens your core muscles to build functional strength and stability
9,Barbell Ab Rollout - On Knees,Strength,Abs,Push,Barbell,Intermediate,"The Barbell Ab Rollout - On Knees is a great fitness movement to tone and strengthen the muscles of the core as well as the arms This movement starts on the knees and using a weighted barbell, the user will roll the barbell away from them while engaging the core in order to maintain a straight torso As the barbell rolls outward, the user will slowly roll it back inwards to starting position while continuing to keep a straight torso form This movement is great"
10,Decline Bar Press Sit-Up,Strength,Abs,Hinge,Barbell,Intermediate,Decline Bar Press Sit-Ups is an effective exercise that targets your abdominal muscles while building core strength The exercise is performed on a decline bench which allows your body to be in a declined angle This angle puts much of the body's resistance on the abdominal muscles to ensure they are engaged and contracted throughout the entire movement This is a must for anyone looking to strengthen their core and ab muscles
11,Decline Bar Press Sit-Up,Strength,Abs,Hinge,Barbell,Intermediate,Decline Bar Press Sit-Ups is an effective exercise that targets your abdominal muscles while building core strength The exercise is performed on a decline bench which allows your body to be in a declined angle This angle puts much of the body's resistance on the abdominal muscles to ensure they are engaged and contracted throughout the entire movement This is a must for anyone looking to strengthen their core and ab muscles
12,Bench Barbell Roll-Out,Strength,Abs,Rotation,Barbell,Beginner,"The Bench Barbell Roll-Out is a great way to strengthen core muscles and improve stability It involves placing a loaded barbell on a bench and then rolling it away from you while keeping your body in a plank-like position This exercises requires core stability and strength, making it an effective way to improve both upper and lower body power"
13,Barbell Side Bend,Strength,Abs,Twist,Barbell,Beginner,"The Barbell Side Bend is a fitness movement that helps to strengthen the oblique muscles It is performed by standing straight while holding a barbell in one arm, then slowly bending the torso to the side and back again This exercise helps to improve posture and core stability, as well as provide resistance for toning the abdominal, oblique, and hip flexor muscles"
14,Seated Bar Twist,Strength,Abs,Twist,Barbell,Intermediate,"The Seated Bar Twist is a core exercise that strengthens the abdominals, obliques, and spine It involves sitting in an upright, seated position with feet planted firmly on the ground and holding a weighted barbell across the chest From this position, the user twists their torso from side to side, engaging the abdominals and obliques each time they twist This exercise is perfect for those looking for a full-body burn from their ab exercises"
15,Single-Arm Landmine Pull And Press,Strength,Abs,Push,Barbell,Intermediate,"The Single-Arm Landmine Pull and Press is a popular full-body strength and fitness movement that involves pulling a barbell with one hand from the ground to your chest level and then pushing it back to the ground It is a compound exercise that combines elements of the deadlift, bent-over row, and overhead press into one movement to activate the upper back, deltoids, lats, arms, hips, and core"
16,Barbell Ab Roll Out - Gethin Variation,Strength,Abs,Push,Barbell,Intermediate,The Barbell Ab Roll Out ??Gethin Variation is a fitness movement designed to strengthen and develop the core muscles It involves kneeling on the floor while holding a loaded barbell in front of you with both hands and then rolling the barbell out away from your body using only your arms and the core strength in your midsection This movement targets all of the core muscles and provides a great overall workout
17,30 Barbell Floor Wiper,Strength,Abs, Hinge,Barbell,Intermediate,"30 Barbell Floor Wipers is a core-strengthening exercise that uses a barbell to increase strength and balance It involves lying on your back with your legs at a 90-degree angle and lifting the barbell up over your head Then, keep your arms pressed firmly against the floor and swivel the barbell from one side to the other in a saw-like motion It is a great core exercise that is suitable for any fitness level"
18,30 Barbell Roll-Out,Strength,Abs,Push,Barbell,Intermediate,The 30 Barbell Roll-Out is a fitness movement designed to help build core strength and relieve spinal compression It requires you to kneel on the ground with a barbell in your hands and extend your arms out directly in front of you while keeping your core tight You then roll the barbell straight out in front of you until you reach the maximum range of motion before slowly returning back to the starting position Repeat this movement until you?™ve completed a set of 30 reps
19,Decline Plate Sit-Up,Strength,Abs,Rotation,Barbell,Intermediate,"Decline Plate Sit-Ups are a type of abdominal exercise which requires you to lie on a decline bench while holding a weighted plate above your chest As you sit up, you need to press the plate away from you and bring it back to your chest as you lay back down This exercise heavily works your core muscles, including your abdominals, which is beneficial for developing a strong and toned abdominal section"
20,Kv Barbell Hip Thrust,Strength,Abs,Hinge,Barbell,Intermediate,"Kv Barbell Hip Thrust is a strength-training exercise focused on the glutes and hamstrings It involves sitting on the floor with a weighted barbell across the hips, and then raising the hips off the ground by pushing through the heels and contracting the glutes This exercise is designed to increase overall lower body strength, muscle size and power"
21,Advanced Kettlebell Windmill,Strength,Abs,Twist,Kettlebells,Beginner,"The Advanced Kettlebell Windmill is a dynamic and challenging total body exercise that helps build core strength, coordination, and stability It involves standing with feet wide and slightly pivoting to the side while holding a kettlebell in one hand and keeping the other arm straight overhead The exerciser then dips the kettlebell by hinging at the hips and extending the arm with the weight across the legs, before powering back up and switching arms This advanced kettlebell movement targets the shoulders, core"
22,Kettlebell Windmill,Strength,Abs,Twist,Kettlebells,Intermediate,"Kettlebell Windmill is a popular exercise that uses a kettlebell to strengthen and improve the mobility of the core, shoulders, and hips It is an intense, dynamic, full body movement that targets multiple muscle groups with a single exercise It is great for improving flexibility, range of motion, and burning fat"
23,Kettlebell Pass Between The Legs,Strength,Abs,Hinge,Kettlebells,Beginner,"The Kettlebell Pass Between The Legs is a fitness movement that involves standing with feet shoulder-width apart, gripping the handle of a kettlebell with both hands, then swinging the weight between the legs and shifting the grip on the kettlebell so that it can be lifted up and over the head, all while maintaining a straight back This exercise works the core, glutes, and arms and improves coordination, flexibility, and balance"
24,Kettlebell 3-Point Leg Extension,Strength,Abs,Hinge,Kettlebells,Intermediate,"The Kettlebell 3-Point Leg Extension is a dynamic exercise which works the entire lower body, integrating the glutes, hamstrings, and quads This exercise requires proper form to be performed correctly and can also help to increase core strength, balance, and coordination while burning calories"
25,Double Kettlebell Swing,Strength,Hamstrings,Hinge,Kettlebells,Beginner,"The Double Kettlebell Swing is an explosive full-body workout that builds strength, endurance, and power It involves swinging two kettlebells between your legs and then pushing your hips forward so that the kettlebells swing up to chest level The double kettlebell swing requires core strength and proper technique to maximize the benefits"
26,Burpee Over Kettlebell,Strength,Abs,Squat,Kettlebells,Intermediate,"The Burpee Over Kettlebell is a dynamic movement that involves jumping over a kettlebell, then dropping onto your chest to do a burpee, before returning to the starting position This exercise is great for building strength, endurance, and coordination as it engages multiple muscle groups It's a great way to incorporate cardiovascular fitness into strength training"
27,Kettlebell Toe-Touch,Strength,Abs,Hinge,Kettlebells,Intermediate,"Kettlebell Toe-Touch is a dynamic and efficient exercise which combines strength and cardio training It can be adapted to vary the intensity of the workout, which makes it suitable for both beginners and experienced practitioners Its main movements include cleaning a kettlebell from the floor to the overhead position while simultaneously reaching down and touching the toes which provides a great all-over body workout"
28,Kettlebell Swing,Strength,Hamstrings,Hinge,Kettlebells,Beginner,"Kettlebell Swing is a dynamic, full-body exercise that is popular in the fitness community It involves swinging a kettlebell between your legs and then using the momentum to power the weight upward and use your core muscles to control its descent It is a great way to build strength, improve posture, burn fat, and increase cardiovascular endurance"
